Year,CollegeCode,CollegeName,Branch,Category,Gender,CutoffRank
2019,ABRK,"ABR COLLEGE OF ENGG ANDTECHNOLOGY",EEE,BC-D,F,102686
2019,ABRK,"ABR COLLEGE OF ENGG ANDTECHNOLOGY",EEE,BC-E,M,102686
2019,ABRK,"ABR COLLEGE OF ENGG ANDTECHNOLOGY",EEE,BC-E,F,102686
2019,ABRK,"ABR COLLEGE OF ENGG ANDTECHNOLOGY",MEC,OC,M,109430
2019,ABRK,"ABR COLLEGE OF ENGG ANDTECHNOLOGY",MEC,OC,F,109430
2019,ABRK,"ABR COLLEGE OF ENGG ANDTECHNOLOGY",MEC,SC,M,109430
2019,ABRK,"ABR COLLEGE OF ENGG ANDTECHNOLOGY",MEC,SC,F,109430
2019,ABRK,"ABR COLLEGE OF ENGG ANDTECHNOLOGY",MEC,ST,M,109430
2019,ABRK,"ABR COLLEGE OF ENGG ANDTECHNOLOGY",MEC,ST,F,109430
2019,ABRK,"ABR COLLEGE OF ENGG ANDTECHNOLOGY",MEC,BC-A,M,109430
2019,ABRK,"ABR COLLEGE OF ENGG ANDTECHNOLOGY",MEC,BC-A,F,109430
2019,ABRK,"ABR COLLEGE OF ENGG ANDTECHNOLOGY",MEC,BC-B,M,109430
2019,ABRK,"ABR COLLEGE OF ENGG ANDTECHNOLOGY",MEC,BC-B,F,109430
2019,ABRK,"ABR COLLEGE OF ENGG ANDTECHNOLOGY",MEC,BC-C,M,109430
2019,ABRK,"ABR COLLEGE OF ENGG ANDTECHNOLOGY",MEC,BC-C,F,109430
2019,ABRK,"ABR COLLEGE OF ENGG ANDTECHNOLOGY",MEC,BC-D,M,109430
2019,ABRK,"ABR COLLEGE OF ENGG ANDTECHNOLOGY",MEC,BC-D,F,109430
2019,ABRK,"ABR COLLEGE OF ENGG ANDTECHNOLOGY",MEC,BC-E,M,109430
2019,ABRK,"ABR COLLEGE OF ENGG ANDTECHNOLOGY",MEC,BC-E,F,109430
2019,ABRK,"ABR COLLEGE OF ENGG ANDTECHNOLOGY",MIN,OC,M,100160
2019,ABRK,"ABR COLLEGE OF ENGG ANDTECHNOLOGY",MIN,OC,F,100160
2019,ABRK,"ABR COLLEGE OF ENGG ANDTECHNOLOGY",MIN,SC,M,115071
2019,ABRK,"ABR COLLEGE OF ENGG ANDTECHNOLOGY",MIN,SC,F,115071
2019,ABRK,"ABR COLLEGE OF ENGG ANDTECHNOLOGY",MIN,ST,M,121461
2019,ABRK,"ABR COLLEGE OF ENGG ANDTECHNOLOGY",MIN,ST,F,121461
2019,ABRK,"ABR COLLEGE OF ENGG ANDTECHNOLOGY",MIN,BC-A,M,100160
2019,ABRK,"ABR COLLEGE OF ENGG ANDTECHNOLOGY",MIN,BC-A,F,100160
2019,ABRK,"ABR COLLEGE OF ENGG ANDTECHNOLOGY",MIN,BC-B,M,125134
2019,ABRK,"ABR COLLEGE OF ENGG ANDTECHNOLOGY",MIN,BC-B,F,125134
2019,ABRK,"ABR COLLEGE OF ENGG ANDTECHNOLOGY",MIN,BC-C,M,100160
2019,ABRK,"ABR COLLEGE OF ENGG ANDTECHNOLOGY",MIN,BC-C,F,100160
2019,ABRK,"ABR COLLEGE OF ENGG ANDTECHNOLOGY",MIN,BC-D,M,100160
2019,ABRK,"ABR COLLEGE OF ENGG ANDTECHNOLOGY",MIN,BC-D,F,100160
2019,ABRK,"ABR COLLEGE OF ENGG ANDTECHNOLOGY",MIN,BC-E,M,100160
2019,ABRK,"ABR COLLEGE OF ENGG ANDTECHNOLOGY",MIN,BC-E,F,130236
2019,ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,OC,M,119023
2019,ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,OC,F,126345
2019,ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,SC,M,130438
2019,ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,SC,F,130438
2019,ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,ST,M,119023
2019,ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,ST,F,126345
2019,ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,BC-A,M,124315
2019,ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,BC-A,F,126345
2019,ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,BC-B,M,119023
2019,ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,BC-B,F,126439
2019,ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,BC-C,M,119023
2019,ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,BC-C,F,126345
2019,ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,BC-D,M,119023
2019,ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,BC-D,F,126345
2019,ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,BC-E,M,119023
2019,ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,BC-E,F,126345
2019,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,OC,M,62804
2019,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,OC,F,83261
2019,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,SC,M,126988
2019,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,SC,F,126988
2019,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,ST,M,80467
2019,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,ST,F,130389
2019,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,BC-A,M,129110
2019,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,BC-A,F,129110
2019,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,BC-B,M,126042
2019,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,BC-B,F,126042
2019,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,BC-C,M,62804
2019,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,BC-C,F,83261
2019,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,BC-D,M,126470
2019,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,BC-D,F,127998
2019,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,BC-E,M,126699
2019,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,BC-E,F,126699
2019,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,OC_EWS,M,128454
2019,ACEE,ADARSH COLLEGE OF ENGINEERING,ECE,OC,M,120929
2019,ACEE,ADARSH COLLEGE OF ENGINEERING,ECE,OC,F,120929
2019,ACEE,ADARSH COLLEGE OF ENGINEERING,ECE,SC,M,120944
2019,ACEE,ADARSH COLLEGE OF ENGINEERING,ECE,SC,F,120944
2019,ACEE,ADARSH COLLEGE OF ENGINEERING,ECE,ST,M,120929
2019,ACEE,ADARSH COLLEGE OF ENGINEERING,ECE,ST,F,120929
2019,ACEE,ADARSH COLLEGE OF ENGINEERING,ECE,BC-A,M,120929
2019,ACEE,ADARSH COLLEGE OF ENGINEERING,ECE,BC-A,F,120929
2019,ACEE,ADARSH COLLEGE OF ENGINEERING,ECE,BC-B,M,120929
2019,ACEE,ADARSH COLLEGE OF ENGINEERING,ECE,BC-B,F,120929
2019,ACEE,ADARSH COLLEGE OF ENGINEERING,ECE,BC-C,M,120929
2019,ACEE,ADARSH COLLEGE OF ENGINEERING,ECE,BC-C,F,120929
2019,ACEE,ADARSH COLLEGE OF ENGINEERING,ECE,BC-D,M,120929
2019,ACEE,ADARSH COLLEGE OF ENGINEERING,ECE,BC-D,F,120929
2019,ACEE,ADARSH COLLEGE OF ENGINEERING,ECE,BC-E,M,120929
2019,ACEE,ADARSH COLLEGE OF ENGINEERING,ECE,BC-E,F,120929
2019,ACEE,ADARSH COLLEGE OF ENGINEERING,EEE,OC,M,128732
2019,ACEE,ADARSH COLLEGE OF ENGINEERING,EEE,OC,F,128732
2019,ACEE,ADARSH COLLEGE OF ENGINEERING,EEE,SC,M,128732
2019,ACEE,ADARSH COLLEGE OF ENGINEERING,EEE,SC,F,128732
2019,ACEE,ADARSH COLLEGE OF ENGINEERING,EEE,ST,M,128732
2019,ACEE,ADARSH COLLEGE OF ENGINEERING,EEE,ST,F,128732
2019,ACEE,ADARSH COLLEGE OF ENGINEERING,EEE,BC-A,M,128732
2019,ACEE,ADARSH COLLEGE OF ENGINEERING,EEE,BC-A,F,128732
2019,ACEE,ADARSH COLLEGE OF ENGINEERING,EEE,BC-B,M,128732
2019,ACEE,ADARSH COLLEGE OF ENGINEERING,EEE,BC-B,F,128732
2019,ACEE,ADARSH COLLEGE OF ENGINEERING,EEE,BC-C,M,128732
2019,ACEE,ADARSH COLLEGE OF ENGINEERING,EEE,BC-C,F,128732
2019,ACEE,ADARSH COLLEGE OF ENGINEERING,EEE,BC-D,M,128732
2019,ACEE,ADARSH COLLEGE OF ENGINEERING,EEE,BC-D,F,128732
2019,ACEE,ADARSH COLLEGE OF ENGINEERING,EEE,BC-E,M,128732
2019,ACEE,ADARSH COLLEGE OF ENGINEERING,EEE,BC-E,F,128732
2019,ACEE,ADARSH COLLEGE OF ENGINEERING,MEC,OC,M,125589
2019,ACEE,ADARSH COLLEGE OF ENGINEERING,MEC,OC,F,125589
